,Player,Pos,Age,Tm,GS,MP,FG,FG%,3P,3P%,FT,FT%,TRB,AST,STL,BLK,TOV,PTS
277,Juan Hernangómez,PF,24,DEN,0,12.4,1.1,0.345,0.4,0.25,0.5,0.64,2.8,0.6,0.1,0.1,0.5,3.1
278,Juan Hernangómez,PF,24,MIN,14,29.4,4.4,0.453,2.1,0.42,2.0,0.609,7.3,1.3,1.0,0.3,1.0,12.9
279,Willy Hernangómez,C,25,CHO,0,12.1,2.4,0.532,0.2,0.227,1.2,0.627,4.3,0.9,0.3,0.2,1.0,6.1
280,Tyler Herro,SG,20,MIA,8,27.4,4.9,0.428,2.1,0.389,1.6,0.87,4.1,2.2,0.6,0.2,1.6,13.5
281,Kevin Hervey,PF,23,OKC,0,5.2,0.7,0.259,0.3,0.15,0.0,0.0,1.2,0.5,0.1,0.1,0.0,1.7
282,Mario Hezonja,PF,24,POR,4,16.4,1.7,0.422,0.5,0.308,0.9,0.814,3.5,0.9,0.7,0.2,0.8,4.8
283,Buddy Hield,SG,27,SAC,44,30.8,6.9,0.429,3.8,0.394,1.6,0.846,4.6,3.0,0.9,0.2,2.3,19.2
284,George Hill,PG,33,MIL,2,21.5,3.3,0.516,1.4,0.46,1.4,0.842,3.0,3.1,0.8,0.1,1.0,9.4
285,Solomon Hill,SF,28,TOT,4,18.4,1.9,0.396,1.1,0.368,0.7,0.741,2.8,1.8,0.7,0.2,0.9,5.5
286,Solomon Hill,SF,28,MEM,3,18.8,2.0,0.412,1.2,0.381,0.5,0.684,3.0,2.0,0.6,0.1,0.8,5.7
287,Solomon Hill,SF,28,MIA,1,17.0,1.3,0.311,0.6,0.292,1.3,0.875,1.9,0.9,1.1,0.5,1.0,4.5
288,Jaylen Hoard,SF,20,POR,0,7.9,1.2,0.469,0.0,0.0,0.6,0.615,2.5,0.3,0.4,0.0,0.3,2.9
289,Aaron Holiday,PG,23,IND,33,24.5,3.5,0.414,1.3,0.394,1.1,0.851,2.4,3.4,0.8,0.2,1.3,9.5
290,Jrue Holiday,SG,29,NOP,61,34.7,7.5,0.455,2.0,0.353,2.1,0.709,4.8,6.7,1.6,0.8,3.0,19.1
291,Justin Holiday,SG,30,IND,6,25.0,2.8,0.428,1.8,0.405,0.7,0.791,3.3,1.3,1.2,0.6,0.6,8.3
292,Rondae Hollis-Jefferson,SF,25,TOR,6,18.7,2.6,0.471,0.1,0.13,1.8,0.734,4.7,1.8,0.8,0.4,1.0,7.0
293,Richaun Holmes,C,26,SAC,38,28.2,5.1,0.648,0.0,0.0,2.1,0.788,8.1,1.0,0.9,1.3,1.2,12.3
294,Rodney Hood,SF,27,POR,21,29.5,4.1,0.506,1.7,0.493,1.0,0.778,3.4,1.5,0.8,0.2,0.9,11.0
295,Al Horford,C,33,PHI,61,30.2,4.8,0.45,1.5,0.35,0.9,0.763,6.8,4.0,0.8,0.9,1.2,11.9
296,Talen Horton-Tucker,SG,19,LAL,1,13.5,2.3,0.467,0.7,0.308,0.3,0.5,1.2,1.0,1.3,0.2,1.0,5.7
297,Danuel House,SF,26,HOU,52,30.4,3.7,0.427,2.0,0.363,1.2,0.811,4.2,1.3,1.1,0.5,0.9,10.5
298,Dwight Howard,C,34,LAL,2,18.9,2.9,0.729,0.0,0.6,1.6,0.514,7.3,0.7,0.4,1.1,1.2,7.5
299,William Howard,PF,26,HOU,0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0
300,Kevin Huerter,SG,21,ATL,48,31.4,4.5,0.413,2.3,0.38,0.9,0.828,4.1,3.8,0.9,0.5,1.6,12.2
301,De'Andre Hunter,SF,22,ATL,62,32.0,4.4,0.41,1.7,0.355,1.7,0.764,4.5,1.8,0.7,0.3,1.6,12.3
302,Chandler Hutchison,SF,23,CHI,10,18.8,2.9,0.457,0.4,0.316,1.6,0.59,3.9,0.9,1.0,0.3,1.0,7.8
303,Serge Ibaka,C,30,TOR,27,27.0,6.2,0.512,1.3,0.385,1.6,0.718,8.2,1.4,0.5,0.8,2.0,15.4
304,Andre Iguodala,SG,36,MIA,0,19.9,1.8,0.432,0.7,0.298,0.3,0.4,3.7,2.4,0.7,1.0,1.2,4.6
305,Ersan İlyasova,PF,32,MIL,8,15.7,2.3,0.466,0.8,0.365,1.1,0.828,4.8,0.8,0.4,0.3,0.5,6.6
306,Joe Ingles,SF,32,UTA,45,29.7,3.4,0.445,2.0,0.399,1.0,0.787,3.9,5.2,0.9,0.2,2.0,9.8
307,Brandon Ingram,PF,22,NOP,62,33.9,8.2,0.463,2.4,0.391,5.0,0.851,6.1,4.2,1.0,0.6,3.0,23.8
308,Kyrie Irving,PG,27,BRK,20,32.9,10.0,0.478,2.8,0.394,4.7,0.922,5.2,6.4,1.4,0.5,2.6,27.4
309,Jonathan Isaac,SF,22,ORL,32,28.8,4.6,0.47,0.9,0.34,1.8,0.779,6.8,1.4,1.6,2.3,1.4,11.9
310,Wesley Iwundu,SF,25,ORL,21,18.3,1.9,0.416,0.5,0.341,1.5,0.804,2.5,1.2,0.5,0.3,0.5,5.8
311,Frank Jackson,PG,21,NOP,2,13.5,2.3,0.405,0.8,0.326,0.9,0.747,1.4,1.0,0.3,0.1,0.8,6.3
312,Jaren Jackson Jr.,C,20,MEM,57,28.5,6.2,0.469,2.5,0.394,2.4,0.747,4.6,1.4,0.7,1.6,1.7,17.4
313,Josh Jackson,SG,22,MEM,0,17.3,3.2,0.44,1.0,0.319,1.6,0.7,3.0,1.6,0.8,0.4,1.3,9.0
314,Justin Jackson,PF,24,DAL,3,16.1,2.1,0.396,0.7,0.294,0.6,0.84,2.4,0.8,0.2,0.2,0.2,5.5
315,Reggie Jackson,PG,29,TOT,16,24.0,4.3,0.411,1.8,0.393,1.5,0.833,3.0,4.1,0.4,0.2,1.6,11.9
316,Reggie Jackson,PG,29,DET,10,27.2,5.4,0.384,2.2,0.378,1.9,0.788,2.9,5.1,0.6,0.1,1.6,14.9
317,Reggie Jackson,PG,29,LAC,6,21.3,3.4,0.453,1.5,0.413,1.1,0.905,3.0,3.2,0.3,0.2,1.6,9.5
318,Justin James,SG,23,SAC,0,6.4,1.0,0.417,0.3,0.31,0.3,0.476,0.9,0.5,0.2,0.3,0.2,2.5
319,LeBron James,PG,35,LAL,67,34.6,9.6,0.493,2.2,0.348,3.9,0.693,7.8,10.2,1.2,0.5,3.9,25.3
320,Amile Jefferson,PF,26,ORL,0,4.1,0.3,0.357,0.0,0.0,0.3,0.357,1.3,0.2,0.1,0.2,0.2,0.8
321,DaQuan Jeffries,SG,22,SAC,0,10.8,1.5,0.5,0.4,0.278,0.4,0.833,1.4,0.5,0.3,0.1,0.2,3.8
322,Ty Jerome,PG,22,PHO,0,10.6,1.2,0.336,0.5,0.28,0.4,0.75,1.5,1.4,0.5,0.1,0.6,3.3
323,Alize Johnson,SF,23,IND,1,6.9,0.7,0.414,0.2,0.375,0.4,0.7,2.8,0.4,0.2,0.1,0.4,2.0
324,B.J. Johnson,SF,24,ORL,0,8.3,0.9,0.281,0.3,0.333,0.9,0.9,1.5,0.3,0.3,0.0,0.6,3.0
325,Cameron Johnson,PF,23,PHO,9,22.0,3.1,0.435,1.9,0.39,0.8,0.807,3.3,1.2,0.6,0.4,0.6,8.8
326,James Johnson,PF,32,TOT,1,19.3,3.2,0.479,1.0,0.363,1.0,0.646,3.7,2.3,0.8,1.0,1.5,8.4
327,James Johnson,PF,32,MIA,0,15.6,2.2,0.448,0.9,0.356,0.4,0.571,2.9,1.2,0.3,0.7,0.8,5.7
328,James Johnson,PF,32,MIN,1,24.1,4.6,0.5,1.2,0.37,1.6,0.676,4.7,3.8,1.4,1.4,2.4,12.0
329,Keldon Johnson,SF,20,SAS,1,17.7,3.1,0.596,0.8,0.591,2.1,0.795,3.4,0.9,0.8,0.1,0.8,9.1
330,Stanley Johnson,PF,23,TOR,0,6.0,0.9,0.373,0.3,0.292,0.4,0.563,1.5,0.8,0.2,0.2,0.6,2.4
331,Tyler Johnson,SG,27,TOT,7,18.2,2.5,0.388,1.0,0.319,1.1,0.84,1.9,1.9,0.4,0.2,0.7,7.0
